CURRENTLOCATION	LIBRARY	folio_code
W7-CASE-MT	RUMSEYMAP	RUM-W7-CONSERV
W7-CONSERV	RUMSEYMAP	RUM-W7-CONSERV
W7-FRAME	RUMSEYMAP	RUM-W7-CONSERV
HAS-FIC	GREEN	GRE-HAS-FICTION
HAS-NEWBK	GREEN	GRE-HAS-NEWBOOK
IC-EXHIBIT	GREEN	GRE-HH-EXHIBIT
SSRC-NEWBK	GREEN	GRE-SSRC-NEWBOOK
SSRC-NWDOC	GREEN	GRE-SSRC-NEWDOC
ART-CRES	ART	ART-CRES
BUS-CRES	BUSINESS	BUS-CRES
EAL-CRES	EAST-ASIA	EAL-CRES
EAR-CRES	EARTH-SCI	EAR-CRES
EDU-CRES	EDUCATION	EDU-CRES
ENG-CRES	ENG	ENG-CRES
GRE-CRES	GREEN	GRE-CRES
LAW-CRES	LAW	LAW-CRES
MAR-CRES	MARINE-BIO	MAR-CRES
MEDIA-CRES	MEDIA-CENTER	MEDIA-CRES
MUS-CRES	MUSIC	MUS-CRES
SCI-CRES	SCIENCE	SCI-CRES
HH-FOYER	GREEN	GRE-HH-FOYER
NEWBOOKS	ART	ART-NEWBOOK
NEWBOOKS	SCIENCE	SCI-NEWBOOK
NEWBOOKS	EDUCATION	EDU-NEWBOOK
NEWBOOKS	LAW	LAW-NEWBOOK
NEWBOOKS	TANNER	TAN-NEWBOOK
WD-DIGISUB	ARS	ARS-WD-DIGITAL-SUB
WD-DIGISUB	ART	ART-WD-DIGITAL-SUB
WD-DIGISUB	BUSINESS	BUS-WD-DIGITAL-SUB
WD-DIGISUB	CLASSICS	CLA-WD-DIGITAL-SUB
WD-DIGISUB	EAST-ASIA	EAL-WD-DIGITAL-SUB
WD-DIGISUB	EARTH-SCI	EAR-WD-DIGITAL-SUB
WD-DIGISUB	EDUCATION	EDU-WD-DIGITAL-SUB
WD-DIGISUB	ENG	ENG-WD-DIGITAL-SUB
WD-DIGISUB	GREEN	GRE-WD-DIGITAL-SUB
WD-DIGISUB	LAW	LAW-WD-DIGITAL-SUB
WD-DIGISUB	HOPKINS	MAR-WD-DIGITAL-SUB
WD-DIGISUB	MEDIA-MTXT	MEDIA-WD-DIGITAL-SUB
WD-DIGISUB	MUSIC	MUS-WD-DIGITAL-SUB
WD-DIGISUB	RUMSEYMAP	RUM-WD-DIGITAL-SUB
WD-DIGISUB	SAL	SAL-WD-DIGITAL-SUB
WD-DIGISUB	SAL3	SAL3-WD-DIGITAL-SUB
WD-DIGISUB	SCIENCE	SCI-WD-DIGITAL-SUB
TS-MAINTENANCE	SUL	SUL-TS-MAINTENANCE
